smiles,sa_score,m,sigma,epsilon_k,distance,is_associating,vapor_pressure_Pa,liquid_density_mol_m3,vp_ratio_to_ref,rho_ratio_to_ref,property_distance,H_Pa,phi_inf,P_sat_solvent_Pa,H_ratio,tanimoto_to_nearest_train,epsilon_k_tree_std,H_eps_plus,H_eps_minus,H_sensitivity_pct,H_kij_plus,H_kij_minus,H_kij_sensitivity_pct
F/C=C(\F)C(F)(F)[C@H](F)Cl,4.4964551299025635,3.942794100000001,3.4010808999999993,211.66951170000007,0.8159331032899987,False,14549.569887431497,8042.28865379117,0.8954457194036728,0.7401694819070787,0.2800776601649111,38657.50637276367,1.9150223501009769,20186.45180340862,0.7480751558927239,0.45454545454545453,,29193.940954678088,64013.42940939252,74.71402383461422,222935.58060891787,24042.836227774067,161.06083027704923
F/C=C(\F)C(F)(F)[C@@H](F)Cl,4.4964551299025635,3.942794100000001,3.4010808999999993,211.66951170000007,0.8159331032899987,False,14549.569887431497,8042.28865379117,0.8954457194036728,0.7401694819070787,0.2800776601649111,38657.50637276367,1.9150223501009769,20186.45180340862,0.7480751558927239,0.45454545454545453,,29193.940954678088,64013.42940939252,74.71402383461422,222935.58060891787,24042.836227774067,161.06083027704923
F/C=C(/F)C(F)(F)[C@H](F)Cl,4.4964551299025635,3.942794100000001,3.4010808999999993,211.66951170000007,0.8159331032899987,False,14549.569887431497,8042.28865379117,0.8954457194036728,0.7401694819070787,0.2800776601649111,38657.50637276367,1.9150223501009769,20186.45180340862,0.7480751558927239,0.45454545454545453,,29193.940954678088,64013.42940939252,74.71402383461422,222935.58060891787,24042.836227774067,161.06083027704923
F/C=C(/F)C(F)(F)[C@@H](F)Cl,4.4964551299025635,3.942794100000001,3.4010808999999993,211.66951170000007,0.8159331032899987,False,14549.569887431497,8042.28865379117,0.8954457194036728,0.7401694819070787,0.2800776601649111,38657.50637276367,1.9150223501009769,20186.45180340862,0.7480751558927239,0.45454545454545453,,29193.940954678088,64013.42940939252,74.71402383461422,222935.58060891787,24042.836227774067,161.06083027704923
FC(F)=C(Cl)CC(F)(F)F,3.570919366675514,3.953019499999998,3.4566073,211.16864309999997,0.8197810708651598,False,13994.963085109312,7636.01556228367,0.8613127319041206,0.7027782669682644,0.327986153546589,38027.45168443512,1.8838105901312447,20186.45180340862,0.7358827435149716,0.3333333333333333,,28772.83790736189,63219.91402726215,74.89084823634923,226523.21614510744,23807.20683533217,161.9587478790903
C=C[C@](F)(Cl)C(F)(F)C(F)F,4.129230034435523,3.913714600000002,3.621055899999998,206.46713579999997,0.8203362555387226,False,17639.787471258584,6635.861209569313,1.0856315550588065,0.6107293787793628,0.3985779469153934,46834.98485497589,2.3201197174764254,20186.45180340862,0.9063204506461464,0.36363636363636365,,31786.887392476776,97490.28692866102,101.6473323789863,615885.0275580873,24805.77661946169,184.51310588026638
C=C[C@@](F)(Cl)C(F)(F)C(F)F,4.129230034435523,3.913714600000002,3.621055899999998,206.46713579999997,0.8203362555387226,False,17639.787471258584,6635.861209569313,1.0856315550588065,0.6107293787793628,0.3985779469153934,46834.98485497589,2.3201197174764254,20186.45180340862,0.9063204506461464,0.36363636363636365,,31786.887392476776,97490.28692866102,101.6473323789863,615885.0275580873,24805.77661946169,184.51310588026638
C/C(=C(/F)[C@H](F)Cl)C(F)(F)F,4.113908732660375,3.9653815,3.5884322999999982,211.4058926,0.8210628738997043,False,12008.462035874909,6809.580634933227,0.7390545569277969,0.6267175909169848,0.4554473418420267,35525.38665874015,1.759862852804149,20186.45180340862,0.6874643932442145,0.32,,27418.531434888017,57858.17513539276,71.3902891533878,208910.19685510994,23125.621897641922,160.13439300544601
C/C(=C(/F)[C@@H](F)Cl)C(F)(F)F,4.113908732660375,3.9653815,3.5884322999999982,211.4058926,0.8210628738997043,False,12008.462035874909,6809.580634933227,0.7390545569277969,0.6267175909169848,0.4554473418420267,35525.38665874015,1.759862852804149,20186.45180340862,0.6874643932442145,0.32,,27418.531434888017,57858.17513539276,71.3902891533878,208910.19685510994,23125.621897641922,160.13439300544601
C/C(=C(\F)[C@H](F)Cl)C(F)(F)F,4.113908732660375,3.9653815,3.5884322999999982,211.4058926,0.8210628738997043,False,12008.462035874909,6809.580634933227,0.7390545569277969,0.6267175909169848,0.4554473418420267,35525.38665874015,1.759862852804149,20186.45180340862,0.6874643932442145,0.32,,27418.531434888017,57858.17513539276,71.3902891533878,208910.19685510994,23125.621897641922,160.13439300544601
C/C(=C(\F)[C@@H](F)Cl)C(F)(F)F,4.113908732660375,3.9653815,3.5884322999999982,211.4058926,0.8210628738997043,False,12008.462035874909,6809.580634933227,0.7390545569277969,0.6267175909169848,0.4554473418420267,35525.38665874015,1.759862852804149,20186.45180340862,0.6874643932442145,0.32,,27418.531434888017,57858.17513539276,71.3902891533878,208910.19685510994,23125.621897641922,160.13439300544601
C/C(F)=C\C(F)(F)C(F)(F)Cl,3.791928146948118,3.913884700000001,3.6380880999999983,205.8767823000001,0.8224069410100165,False,18023.658379722572,6534.606934082631,1.1092566906777368,0.6014104736947355,0.4132924327133341,48051.72767524755,2.380394937317993,20186.45180340862,0.929866073744003,0.5238095238095238,,32159.999303723387,103071.18962559623,104.87401742646149,702008.4371108033,24922.037508894486,186.28642579777238
C/C(F)=C/C(F)(F)C(F)(F)Cl,3.791928146948118,3.913884700000001,3.6380880999999983,205.8767823000001,0.8224069410100165,False,18023.658379722572,6534.606934082631,1.1092566906777368,0.6014104736947355,0.4132924327133341,48051.72767524755,2.380394937317993,20186.45180340862,0.929866073744003,0.5238095238095238,,32159.999303723387,103071.18962559623,104.87401742646149,702008.4371108033,24922.037508894486,186.28642579777238
F/C(=C\CCl)C(F)(F)F,3.540626608624158,3.9572852,3.2388693000000006,211.80215160000003,0.8260977050796839,False,16205.125833583605,9284.743038406948,0.9973360499553552,0.8545183765741112,0.1455060115063033,40483.90017416719,2.0054985674763905,20186.45180340862,0.7834183519729827,0.47619047619047616,,30381.805423765956,66639.91943272446,74.7422581129941,216198.83148592347,24735.134994843476,158.93458219089584
