smiles,m,sigma,epsilon_k
CCOC(=O)c1ccccc1C(=O)OCC,6.1307556459507735,3.579965370833894,277.82638382036953
O=C(O)C(F)(F)F,3.7449945072430024,2.971151337766955,225.26812096833316
FC(F)(F)C(Cl)Cl,2.935487870157479,3.4938993094388096,216.59021904202703
C1COCCN1,2.8357188258313175,3.4964502527983843,300.1708779920631
CCCCOC,3.110151348284428,3.647431676946245,237.9251240108196
CCCCOCC,3.9264082376444938,3.538467379938659,221.37616486172232
CCCOCCC,3.4611062240501433,3.707023678706704,235.23350736892135
CCCCOCCCC,4.3327805944033635,3.723419104617328,236.4166764161372
Cc1ccccn1,3.0427719082382705,3.534134869673295,290.3574705153942
Cc1cccnc1,2.8584642184948974,3.611273508885585,312.1234259860179
Cc1ccncc1,2.920441567619716,3.588338322091049,308.65366128896807
Cc1ccc(C)nc1,3.3569702094250795,3.610036772998811,291.13685321651235
C/C=C/CCC,3.0427581931006564,3.7310847714184994,238.106166458631
CC/C=C/CC,3.0497231789691286,3.728668553021599,237.26515201031023
C=CC(C)(C)O,2.075210936141118,3.925369256325501,156.92878573743425
c1ccc2c(c1)CCCC2,3.296715100088276,3.882156743777984,325.4338460182445
CCCCCCCC/C=C\CCCCCCCC(=O)O,9.877756907257384,3.563807312792625,233.43818301869777
Cc1cccc(O)c1,3.365270787618865,3.5604995780200803,314.65692945741284
O=P(Cl)(Cl)Cl,2.639959434206979,3.594638058184291,298.37470467339256
CCCOC=O,3.238372600465853,3.392984634478733,243.28402856813085
CCCOC(C)=O,3.681185456469099,3.4429939167797725,238.95737321487616
CCCOC(=O)CCC,4.341205826811418,3.5729519022049874,240.0565731080212
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3.903140435172641,3.438945943053172,247.16487127525647
CCCCCCC=O,3.8420170274457903,3.6607414163491505,262.7296959945083
CC(=O)c1ccccc1,3.685918318414104,3.546077564522381,307.43740012895466
CCC(O)CO,3.866205105797495,3.2167123244874243,277.0647338687504
CC12CC3CC(C1)CC(C)(C3)C2,2.968168047620693,4.420045169029921,332.0122818854188
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,4.7648935822849765,3.8179907148258274,198.7818418078698
S=C=S,1.4989467386275888,3.768718814012914,361.7483648087439
OCCc1ccccc1,3.8500836411282577,3.5542969382337977,305.1154861409784
c1ccc([Se]c2ccccc2)cc1,4.445151507399357,3.830803616159571,329.9391174201233
C=CCCCCCCCC,4.372297887400967,3.873735840440858,250.71952332326276
CCCCCCCCCCCCCCCCCC,7.1420750004525075,3.991598299895916,258.1907488725099
CCCCCCCCCCCCCCCCCCC,7.243679380076195,4.0390506363451095,262.3815920191208
CCCN,1.0000000711365382,4.926705621972197,364.75038549062145
CSC,2.2412432395804123,3.4712691234446083,270.09464590949494
COC(=O)CCl,3.824705528818643,3.1345113012540566,259.7196574262485
CCOC(=O)CCl,4.225562137932355,3.23227876080128,251.24105703069583
COC=O,2.7121777897679245,3.058846437063054,241.053764596013
CC(C)OC=O,2.75098021644262,3.614453416118076,256.9701185144143
CCCCOC=O,3.725150362866936,3.4270901573530277,238.33601401075916
CCOC(=O)CC(=O)OCC,6.334150735791554,3.181004865649421,228.80450089573793
CCOC(=O)CCCC(=O)OCC,6.068207380033154,3.468066902781152,249.57455223000633
CCOC(=O)CCCCC(=O)OCC,6.483540339807586,3.4928972755310306,246.5426091018335
CCOC(=O)c1ccccc1,4.384767139983445,3.570550803136147,282.2346667664342
COC(=O)c1ccccc1O,3.7345334209068817,3.6593944090063193,316.59908484736974
Brc1cccc2ccccc12,3.3725471473319133,3.9191150806288815,373.8646570118865
CC1=CCC(=C(C)C)CC1,4.015372352174394,3.784876528960611,277.0488802023474
CN1CCCC1c1cccnc1,3.337067602143196,4.106999835899948,345.12241241763957
CCC(=O)OCCC(C)C,3.5535429465016555,3.997889973696964,275.52845830485126
CCCC(=O)OC,3.71205178520732,3.4206359173400305,238.90126726047245
CCCC(=O)OCCC(C)C,4.601922193193909,3.7731873644559513,249.87499731124248
CCOC(=O)C(C)C,4.025776403653698,3.5082127082848698,230.81190207307833
CCCOC(=O)C(C)C,4.313121417216008,3.582954421870051,234.88420451245133
COC(=O)CC(C)C,4.09008040179135,3.4795859865604095,233.0217962425324
CCOC(=O)CC(C)C,4.235342695028317,3.6049439907373495,237.25219776915495
CCCOC(=O)CC(C)C,4.678830076800336,3.6204587389196305,236.53574279157817
CCCC(C)(C)C,3.0174688919587775,3.9802974498735426,243.29543457568664
CCC(C)(C)CC,2.867894755740978,4.044032460854079,255.71890586838452
CCCCCC(C)C,3.669509865870062,3.8788112746044896,242.39664144524417
CCCCC(C)CC,3.619724501836585,3.888844964211391,245.23970667230353
CCCC(C)CCC,3.6317353670379,3.8781974388730944,244.09898044970075
CCCC(CC)CC,3.5526791746068698,3.8947368471117576,247.7466648183612
CCCCC(C)(C)C,3.3874536682232685,3.981943981269803,245.3522315686725
CCCC(C)C(C)C,3.433821335816004,3.9419773797434137,250.10137433329203
CCC(C)CC(C)C,3.462881508211945,3.963010719669501,244.07351658805337
CC(C)CCC(C)C,3.527530786451203,3.929548642167236,241.72830975708575
